id,rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,image,date,last_updated,number,loser_rank,gainer_rank
bitcoin,1,Bitcoin,BTC,114342.0,1.82142,UP,2276052150024,27333849979.0,122838.0,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,03-08-2025,2025-08-03T19:09:12.090Z,1,,
ethereum,2,Ethereum,ETH,3492.41,3.1495,UP,421785365004,23070437851.0,4878.26,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,03-08-2025,2025-08-03T19:09:13.342Z,2,,
ripple,3,XRP,XRP,2.91,4.92412,UP,172962909523,11448659340.0,3.65,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,03-08-2025,2025-08-03T19:09:07.763Z,3,,
tether,4,Tether,USDT,0.99987,0.01557,UP,163888139088,272189861409.0,1.32,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,03-08-2025,2025-08-03T19:09:08.747Z,4,,
binancecoin,5,BNB,BNB,751.79,2.13261,UP,104759960248,1862292879.0,858.34,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,03-08-2025,2025-08-03T19:09:11.758Z,5,,
solana,6,Solana,SOL,161.63,2.99413,UP,87054688521,3970235357.0,293.31,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,03-08-2025,2025-08-03T19:09:07.814Z,6,,
usd-coin,7,USDC,USDC,0.999605,-0.01066,DOWN,64172981812,3567851703.0,1.17,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,03-08-2025,2025-08-03T19:09:10.705Z,7,,
staked-ether,8,Lido Staked Ether,STETH,3487.69,3.17838,UP,31112847680,48864454.0,4829.57,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,03-08-2025,2025-08-03T19:09:07.424Z,8,,
tron,9,TRON,TRX,0.32599,2.01059,UP,30866316572,915194125.0,0.431288,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,03-08-2025,2025-08-03T19:09:10.297Z,9,,
dogecoin,10,Dogecoin,DOGE,0.198938,3.85818,UP,29963099960,1611650536.0,0.731578,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,03-08-2025,2025-08-03T19:09:12.680Z,10,,
cardano,11,Cardano,ADA,0.723705,4.95756,UP,26229580172,1044163283.0,3.09,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,03-08-2025,2025-08-03T19:09:12.316Z,11,,
wrapped-bitcoin,12,Wrapped Bitcoin,WBTC,114336.0,1.84847,UP,14508717724,132957698.0,122745.0,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,03-08-2025,2025-08-03T19:09:18.616Z,12,,
wrapped-steth,13,Wrapped stETH,WSTETH,4219.31,3.15753,UP,13676365232,18905667.0,7256.02,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,03-08-2025,2025-08-03T19:09:09.334Z,13,,
hyperliquid,14,Hyperliquid,HYPE,38.41,6.9259,UP,12826793099,277394205.0,49.75,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,03-08-2025,2025-08-03T19:09:13.460Z,14,,
stellar,15,Stellar,XLM,0.397438,9.03637,UP,12431155865,408865343.0,0.875563,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,03-08-2025,2025-08-03T19:09:09.037Z,15,,
sui,16,Sui,SUI,3.44,4.32945,UP,12074078008,1110218176.0,5.35,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,03-08-2025,2025-08-03T19:09:08.745Z,16,,
wrapped-beacon-eth,17,Wrapped Beacon ETH,WBETH,3754.59,3.17888,UP,11129191220,8423563.0,4317.06,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,03-08-2025,2025-08-03T19:09:08.954Z,17,,
chainlink,18,Chainlink,LINK,16.25,4.60448,UP,11035066168,344995582.0,52.7,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,03-08-2025,2025-08-03T19:09:12.402Z,18,,
bitcoin-cash,19,Bitcoin Cash,BCH,541.0,3.26047,UP,10782004730,1031365693.0,3785.82,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,03-08-2025,2025-08-03T19:09:11.531Z,19,,
hedera-hashgraph,20,Hedera,HBAR,0.247074,8.51828,UP,10472322951,409238108.0,0.569229,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,03-08-2025,2025-08-03T19:09:13.317Z,20,,
wrapped-eeth,21,Wrapped eETH,WEETH,3744.36,3.10714,UP,9798116963,9553871.0,4311.81,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,03-08-2025,2025-08-03T19:09:09.402Z,21,,
